,location,size,total_sqft,bath,balcony,price
1, Devarachikkanahalli,2,1250.0,2.0,2.0,40.0
2, Devarachikkanahalli,2,1200.0,2.0,2.0,83.0
3, Devarachikkanahalli,2,1170.0,2.0,2.0,40.0
4, Devarachikkanahalli,3,1425.0,2.0,2.0,65.0
5, Devarachikkanahalli,2,947.0,2.0,2.0,43.0
6, Devarachikkanahalli,2,1130.0,2.0,2.0,36.0
7, Devarachikkanahalli,3,1417.0,2.0,2.0,76.0
8, Devarachikkanahalli,2,1230.0,2.0,1.0,58.0
9, Devarachikkanahalli,3,1705.0,3.0,2.0,75.0
10, Devarachikkanahalli,2,1116.0,2.0,1.0,47.0
11, Devarachikkanahalli,2,991.0,2.0,2.0,40.0
13,1st Block Jayanagar,4,2850.0,4.0,1.0,428.0
14,1st Block Jayanagar,3,1630.0,3.0,2.0,194.0
15,1st Block Jayanagar,3,1875.0,2.0,3.0,235.0
16,1st Block Jayanagar,3,1200.0,2.0,0.0,130.0
17,1st Block Jayanagar,2,1235.0,2.0,2.0,148.0
18,1st Block Jayanagar,4,2750.0,4.0,0.0,413.0
19,1st Block Jayanagar,4,2450.0,4.0,2.0,368.0
20,1st Block Koramangala,2,1415.0,2.0,3.0,110.0
21,1st Block Koramangala,2,860.0,2.0,2.0,65.5
22,1st Block Koramangala,4,3000.0,3.0,3.0,300.0
23,1st Block Koramangala,3,2350.0,3.0,2.0,210.0
24,1st Block Koramangala,2,1000.0,2.0,2.0,45.0
25,1st Block Koramangala,4,3000.0,5.0,3.0,500.0
27,1st Phase JP Nagar,3,1875.0,3.0,1.0,167.0
28,1st Phase JP Nagar,3,2065.0,4.0,1.0,210.0
30,1st Phase JP Nagar,3,2059.0,3.0,2.0,225.0
31,1st Phase JP Nagar,2,1394.0,2.0,1.0,100.0
32,1st Phase JP Nagar,2,1077.0,2.0,2.0,93.0
33,1st Phase JP Nagar,2,1566.0,2.0,0.0,180.0
34,1st Phase JP Nagar,1,840.0,2.0,2.0,50.0
35,1st Phase JP Nagar,3,1590.0,3.0,3.0,131.0
36,1st Phase JP Nagar,3,2180.0,3.0,2.0,210.0
37,1st Phase JP Nagar,2,1180.0,2.0,2.0,88.5
38,1st Phase JP Nagar,2,1200.0,2.0,2.0,86.0
39,1st Phase JP Nagar,2,1394.0,2.0,2.0,85.0
40,1st Phase JP Nagar,3,2077.0,3.0,3.0,175.0
41,1st Phase JP Nagar,2,1205.0,2.0,1.0,85.0
43,1st Phase JP Nagar,2,900.0,2.0,1.0,75.0
44,2nd Phase Judicial Layout,3,1450.0,2.0,1.0,50.75
45,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,40.25
46,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
47,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
48,2nd Phase Judicial Layout,3,1681.0,3.0,3.0,69.0
49,2nd Phase Judicial Layout,3,1350.0,2.0,2.0,47.25
50,2nd Phase Judicial Layout,2,1150.0,2.0,1.0,40.25
51,2nd Stage Nagarbhavi,4,1500.0,4.0,2.0,220.0
52,2nd Stage Nagarbhavi,6,3000.0,8.0,3.0,451.0
53,2nd Stage Nagarbhavi,4,1500.0,3.0,2.0,230.0
54,5th Block Hbr Layout,2,1206.0,2.0,2.0,56.0
55,5th Block Hbr Layout,3,1270.0,2.0,2.0,70.0
56,5th Block Hbr Layout,2,1312.0,2.0,3.0,69.0
57,5th Block Hbr Layout,2,1100.0,2.0,2.0,48.0
58,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
59,5th Phase JP Nagar,2,1150.0,3.0,3.0,52.5
60,5th Phase JP Nagar,2,1256.0,2.0,1.0,62.8
61,5th Phase JP Nagar,2,1207.0,2.0,2.0,63.0
62,5th Phase JP Nagar,3,1725.0,2.0,2.0,100.0
63,5th Phase JP Nagar,2,1440.0,2.0,2.0,60.0
64,5th Phase JP Nagar,3,1700.0,2.0,3.0,100.0
66,5th Phase JP Nagar,5,2500.0,5.0,2.0,110.0
67,5th Phase JP Nagar,1,600.0,1.0,1.0,30.0
68,5th Phase JP Nagar,2,1390.0,2.0,2.0,65.0
69,5th Phase JP Nagar,2,1256.0,2.0,1.0,62.8
70,5th Phase JP Nagar,2,1000.0,2.0,0.0,48.0
71,5th Phase JP Nagar,3,1350.0,2.0,1.0,75.0
72,5th Phase JP Nagar,1,552.0,1.0,1.0,23.5
73,5th Phase JP Nagar,2,1200.0,2.0,2.0,51.0
77,5th Phase JP Nagar,2,1030.0,2.0,2.0,57.0
78,5th Phase JP Nagar,2,1200.0,2.0,1.0,68.0
79,5th Phase JP Nagar,2,1190.0,2.0,2.0,61.8
80,5th Phase JP Nagar,5,4000.0,5.0,2.0,170.0
81,5th Phase JP Nagar,2,1080.0,2.0,1.0,53.0
82,5th Phase JP Nagar,2,1041.0,2.0,2.0,54.0
83,5th Phase JP Nagar,2,812.0,2.0,1.0,42.0
84,5th Phase JP Nagar,2,1010.0,2.0,2.0,57.0
86,5th Phase JP Nagar,2,1075.0,2.0,2.0,60.0
87,6th Phase JP Nagar,2,1192.0,2.0,2.0,74.0
88,6th Phase JP Nagar,2,1180.0,2.0,3.0,80.0
89,6th Phase JP Nagar,4,3245.0,4.0,2.0,250.0
90,6th Phase JP Nagar,3,1645.0,3.0,3.0,100.0
91,6th Phase JP Nagar,2,1140.0,2.0,2.0,65.0
92,6th Phase JP Nagar,3,2040.0,3.0,2.0,200.0
